Annee;est;ouest
2005;Detroit Pistons;San Antonio Spurs
2006;Detroit Pistons;Dallas Mavericks
2007;Boston Celtics;Los Angeles Lakers
2008;Cleveland Cavaliers;Los Angeles Lakers
2009;Cleveland Cavaliers;Los Angeles Lakers
2010;Chicago Bulls;San Antonio Spurs
2011;Chicago Bulls ;San Antonio Spurs
2012;Miami Heat;Oklahoma City Thunder
2013;Indiana Pacers;San Antonio Spurs
2014;Atlanta Hawks;Houston Rockets
2015;Cleveland Cavaliers;Golden State Warriors
2016;Boston Celtics;Golden State Warriors
2017;Toronto Raptors;Houston Rockets
2018;Milwaukee Bucks;Golden State Warriors
